Randomly Generated Puzzle
log = ../logs/repair_random_log.txt
solution = ../logs/repair_solution.txt
seed = 16747340304863
wallOnOff = 1
forced_validity = 1
defaultRow = 12
defaultCol = 10
maxRows = 18
maxCols = 18
experiments = 30
evaluations = 10000
exit_on_converge = 1
number_converge_evals = 25
population_size = 100
number_of_children = 200
tournament_size_parent = 5
tournament_size_survival = 10
parent_selection_type = 4
survival_selection_type = 4
penalty_coefficient = 0.1
fitness_type = 3
survival_strategy = 2
mutation_rate = 0.1

Result Log


6700	0.8137662337662342	0.948051948051948
6900	0.7722077922077927	0.948051948051948
7100	0.8137662337662336	0.948051948051948
7300	0.7958441558441564	0.961038961038961
7500	0.8006493506493509	0.961038961038961
7700	0.7307792207792209	0.961038961038961
7900	0.7542857142857141	0.961038961038961
8100	0.7527272727272728	0.961038961038961
8300	0.7367532467532472	0.961038961038961
8500	0.75	0.961038961038961
8700	0.8133766233766236	0.961038961038961
8900	0.7924675324675323	0.961038961038961
9100	0.8379220779220775	0.974025974025974
9300	0.7562337662337663	0.961038961038961
9500	0.801298701298701	0.974025974025974
9700	0.7389610389610393	0.974025974025974
9900	0.8097402597402593	0.974025974025974

Run 6
100	0.3440860215053765	0.5483870967741935
300	0.4459139784946236	0.5698924731182796
500	0.5054838709677422	0.6129032258064516
700	0.5589247311827955	0.6559139784946236
900	0.5832258064516134	0.7204301075268817
1100	0.6350537634408604	0.7634408602150538
1300	0.6626881720430107	0.7634408602150538
1500	0.693978494623656	0.7741935483870968
1700	0.7245161290322579	0.8064516129032258
1900	0.7230107526881722	0.8387096774193549
2100	0.7489247311827953	0.8602150537634409
2300	0.7839784946236563	0.8817204301075269
2500	0.7673118279569896	0.8817204301075269
2700	0.7970967741935485	0.8817204301075269
2900	0.8013978494623655	0.8817204301075269
3100	0.7394623655913981	0.8817204301075269
3300	0.7708602150537638	0.8817204301075269
3500	0.7564516129032256	0.8817204301075269
3700	0.8166666666666668	0.8817204301075269
3900	0.7760215053763442	0.8817204301075269
4100	0.7462365591397848	0.8924731182795699
4300	0.7676344086021504	0.8924731182795699
4500	0.7650537634408603	0.8924731182795699
4700	0.7718279569892468	0.8924731182795699
4900	0.7703225806451612	0.8924731182795699
5100	0.7865591397849456	0.9032258064516129
5300	0.8163440860215045	0.9032258064516129
5500	0.7497849462365587	0.9139784946236559
5700	0.7532258064516125	0.9139784946236559
5900	0.7651612903225804	0.9139784946236559
6100	0.7402150537634408	0.9139784946236559
6300	0.7052688172043012	0.9139784946236559
6500	0.7704301075268818	0.9354838709677419
6700	0.7979569892473117	0.9354838709677419
6900	0.801505376344086	0.9354838709677419
7100	0.8167741935483872	0.946236559139785
7300	0.7826881720430106	0.946236559139785
7500	0.7416129032258063	0.946236559139785
7700	0.7646236559139781	0.946236559139785
